src_ip,dst_ip,rtt
142.250.194.34,192.168.182.221,0.003742
142.250.194.34,192.168.182.221,0.105244
142.250.194.34,192.168.182.221,0.091646
142.250.194.34,192.168.182.221,0.000558
142.250.194.34,192.168.182.221,0.097656
142.250.194.34,192.168.182.221,38.067487
142.250.207.226,192.168.182.221,0.000667
142.250.207.226,192.168.182.221,0.066724
142.250.207.226,192.168.182.221,0.002467
142.250.207.226,192.168.182.221,0.145152
142.250.207.226,192.168.182.221,0.018389
142.250.207.226,192.168.182.221,0.021215
142.250.207.226,192.168.182.221,0.014876
142.250.207.226,192.168.182.221,0.084060
142.250.207.226,192.168.182.221,0.003677
142.250.207.226,192.168.182.221,0.089404
142.250.207.226,192.168.182.221,0.003537
142.250.207.226,192.168.182.221,0.008603
142.250.207.226,192.168.182.221,0.016291
142.250.207.226,192.168.182.221,0.000774
142.250.207.226,192.168.182.221,0.018424
142.250.207.226,192.168.182.221,0.000573
142.250.207.226,192.168.182.221,0.004299
142.250.207.226,192.168.182.221,0.001440
142.250.207.226,192.168.182.221,0.077848
142.250.207.226,192.168.182.221,0.001882
142.250.207.226,192.168.182.221,0.022890
142.250.207.226,192.168.182.221,0.071176
142.250.207.226,192.168.182.221,0.001279
142.250.207.226,192.168.182.221,0.093388
142.250.207.226,192.168.182.221,0.006729
142.250.207.226,192.168.182.221,0.002179
142.250.207.226,192.168.182.221,0.000530
142.250.207.226,192.168.182.221,0.048474
142.250.207.226,192.168.182.221,0.031164
142.250.207.226,192.168.182.221,0.006858
142.250.207.226,192.168.182.221,0.002003
142.250.207.226,192.168.182.221,0.137185
142.250.207.226,192.168.182.221,4.905754
142.250.207.226,192.168.182.221,0.001178
142.250.207.226,192.168.182.221,0.000651
142.250.207.226,192.168.182.221,0.006023
142.250.207.226,192.168.182.221,0.002146
142.250.207.226,192.168.182.221,0.003111
142.250.207.226,192.168.182.221,0.002087
142.250.207.226,192.168.182.221,0.044786
142.250.207.226,192.168.182.221,0.061573
142.250.207.226,192.168.182.221,0.001203
142.250.207.226,192.168.182.221,0.005884
142.250.207.226,192.168.182.221,0.003566
142.250.207.226,192.168.182.221,0.010034
142.250.207.226,192.168.182.221,0.050471
142.250.207.226,192.168.182.221,0.004716
142.250.207.226,192.168.182.221,0.000243
142.250.207.226,192.168.182.221,0.002878
142.250.207.226,192.168.182.221,0.001390
142.250.207.226,192.168.182.221,0.003879
142.250.207.226,192.168.182.221,0.002746
142.250.207.226,192.168.182.221,0.006156
142.250.207.226,192.168.182.221,0.017928
142.250.207.226,192.168.182.221,0.032552
142.250.207.226,192.168.182.221,0.001150
142.250.207.226,192.168.182.221,0.000403
142.250.207.226,192.168.182.221,0.107981
142.250.207.226,192.168.182.221,0.015724
142.250.207.226,192.168.182.221,0.019997
142.250.207.226,192.168.182.221,0.025523
142.250.207.226,192.168.182.221,0.100757
142.250.207.226,192.168.182.221,0.001470
142.250.207.226,192.168.182.221,0.028065
142.250.207.226,192.168.182.221,0.001803
142.250.207.226,192.168.182.221,0.009268
142.250.207.226,192.168.182.221,0.000719
142.250.207.226,192.168.182.221,0.000371
142.250.207.226,192.168.182.221,0.000457
142.250.207.226,192.168.182.221,0.001707
142.250.207.226,192.168.182.221,0.000159
142.250.207.226,192.168.182.221,0.000978
142.250.207.226,192.168.182.221,0.001441
142.250.207.226,192.168.182.221,0.001643
142.250.207.226,192.168.182.221,0.045154
142.250.207.226,192.168.182.221,0.002068
142.250.207.226,192.168.182.221,0.001869
142.250.207.226,192.168.182.221,0.025231
142.250.207.226,192.168.182.221,0.002825
142.250.207.226,192.168.182.221,0.000764
142.250.207.226,192.168.182.221,0.000767
142.250.207.226,192.168.182.221,0.001799
142.250.207.226,192.168.182.221,0.000683
142.250.207.226,192.168.182.221,0.038793
142.250.207.226,192.168.182.221,0.068236
142.250.207.226,192.168.182.221,5.341770
142.250.207.226,192.168.182.221,0.001623
142.250.207.226,192.168.182.221,0.143306
142.250.207.226,192.168.182.221,0.008461
142.250.207.226,192.168.182.221,0.159917
142.250.207.226,192.168.182.221,0.052147
142.250.207.226,192.168.182.221,0.022776
142.250.207.226,192.168.182.221,0.000865
142.250.207.226,192.168.182.221,0.022793
142.250.207.226,192.168.182.221,0.001195
142.250.207.226,192.168.182.221,0.104713
142.250.207.226,192.168.182.221,0.001338
142.250.207.226,192.168.182.221,0.059571
142.250.207.226,192.168.182.221,0.002322
142.250.207.226,192.168.182.221,0.001569
142.250.207.226,192.168.182.221,0.001638
142.250.207.226,192.168.182.221,0.000427
142.250.207.226,192.168.182.221,0.007457
142.250.207.226,192.168.182.221,0.000324
142.250.207.226,192.168.182.221,0.001548
142.250.207.226,192.168.182.221,0.002900
142.250.207.226,192.168.182.221,0.001024
142.250.207.226,192.168.182.221,0.058004
142.250.207.226,192.168.182.221,0.011206
142.250.207.226,192.168.182.221,2.591881
142.250.207.226,192.168.182.221,0.117294
142.250.207.226,192.168.182.221,0.000355
142.250.207.226,192.168.182.221,0.009164
142.250.207.226,192.168.182.221,0.047472
142.250.207.226,192.168.182.221,0.001838
142.250.207.226,192.168.182.221,0.001886
142.250.207.226,192.168.182.221,0.000739
142.250.207.226,192.168.182.221,0.000635
142.250.207.226,192.168.182.221,0.017688
142.250.207.226,192.168.182.221,0.000817
142.250.207.226,192.168.182.221,0.042107
142.250.207.226,192.168.182.221,0.006771
142.250.207.226,192.168.182.221,0.026203
142.250.207.226,192.168.182.221,0.005510
142.250.207.226,192.168.182.221,0.003866
142.250.207.226,192.168.182.221,0.008650
142.250.207.226,192.168.182.221,0.000364
142.250.207.226,192.168.182.221,0.001507
142.250.207.226,192.168.182.221,0.001750
142.250.207.226,192.168.182.221,0.024433
142.250.207.226,192.168.182.221,0.038406
142.250.207.226,192.168.182.221,0.012947
142.250.207.226,192.168.182.221,0.00074
142.250.207.226,192.168.182.221,0.003748
142.250.207.226,192.168.182.221,0.000922
142.250.207.226,192.168.182.221,0.017582
142.250.207.226,192.168.182.221,0.003932
142.250.207.226,192.168.182.221,0.000602
142.250.207.226,192.168.182.221,0.047419
142.250.207.226,192.168.182.221,0.000558
142.250.207.226,192.168.182.221,0.000365
142.250.207.226,192.168.182.221,0.014417
142.250.207.226,192.168.182.221,0.022853
142.250.207.226,192.168.182.221,0.017465
142.250.207.226,192.168.182.221,0.056428
142.250.207.226,192.168.182.221,0.001859
142.250.207.226,192.168.182.221,0.00083
142.250.207.226,192.168.182.221,0.061062
142.250.207.226,192.168.182.221,29.738023
142.250.207.226,192.168.182.221,0.445915
142.250.207.226,192.168.182.221,5.139865
142.250.207.226,192.168.182.221,0.000234
142.250.70.98,192.168.182.221,0.150599
142.250.70.98,192.168.182.221,0.008725
142.250.70.98,192.168.182.221,0.031573
142.250.70.98,192.168.182.221,0.001697
142.250.70.98,192.168.182.221,0.169234
142.250.70.98,192.168.182.221,0.009268
142.250.70.98,192.168.182.221,0.021561
142.250.70.98,192.168.182.221,0.015288
